"floor","room","axis","ordinat","timestamp"
"Level 2","230",339.8096911160072,291.26960414062785,19/05/21 13:33:15
"Level 2","230",339.859448858223,291.07421617153693,19/05/21 13:33:15
"Level 2","230",339.91689294896565,290.84864556228797,19/05/21 13:33:15
"Level 2","230",339.95855690097096,290.6850401693562,19/05/21 13:33:15
"Level 2","230",340.0288492595342,290.4090171713131,19/05/21 13:33:15
"Level 2","230",340.0884571874545,290.1749496381131,19/05/21 13:33:15
"Level 2","230",340.15784328055804,289.9024853499255,19/05/21 13:33:15
"Level 2","230",340.2098245709366,289.69836598466713,19/05/21 13:33:15
"Level 2","230",340.2647005150705,289.48287993568687,19/05/21 13:33:15
"Level 2","230",340.32700741260334,289.2382141283741,19/05/21 13:33:15
"Level 2","230",340.39525986889817,288.97020138850604,19/05/21 13:33:16
"Level 2","230",340.4428806310027,288.7832048814338,19/05/21 13:33:16
"Level 2","230",340.4906263156524,288.5957178303517,19/05/21 13:33:16
"Level 2","230",340.5564730300758,288.3371519222225,19/05/21 13:33:16
"Level 2","230",340.60492822844077,288.1468787631357,19/05/21 13:33:16
"Level 2","230",340.64990862793735,287.970250393054,19/05/21 13:33:16
"Level 2","230",340.7076046260117,287.74369059780605,19/05/21 13:33:16
"Level 2","230",340.7520590050433,287.56912779713656,19/05/21 13:33:16
"Level 2","230",340.80098046983494,287.37702370991485,19/05/21 13:33:16
"Level 2","230",340.8688026175013,287.11070069962983,19/05/21 13:33:16
"Level 2","230",340.9267679939991,286.8830831131573,19/05/21 13:33:17
"Level 2","230",340.9971661045704,286.60664484968675,19/05/21 13:33:17
"Level 2","230",341.0604469603363,286.35815451753297,19/05/21 13:33:17
"Level 2","230",341.1305280279478,286.08296121368625,19/05/21 13:33:17
"Level 2","230",341.20219101971287,285.80155603337846,19/05/21 13:33:17
"Level 2","224",341.2532754036518,285.5998640459347,19/05/21 13:33:17
"Level 2","224",341.29757114036653,285.42106534020616,19/05/21 13:33:17
"Level 2","224",341.3390247523973,285.2537388043229,19/05/21 13:33:17
"Level 2","224",341.39250808129145,285.03785459754414,19/05/21 13:33:17
"Level 2","224",341.44571338743833,284.8230926230855,19/05/21 13:33:17
"Level 2","224",341.5083072972336,284.5704337694814,19/05/21 13:33:18
"Level 2","224",341.56743651727,284.33176005509364,19/05/21 13:33:18
"Level 2","224",341.62714004126866,284.0907681761877,19/05/21 13:33:18
"Level 2","224",341.682819787018,283.8660181841197,19/05/21 13:33:18
"Level 2","224",341.7217002128804,283.70907825405027,19/05/21 13:33:18
"Level 2","224",341.7890111675172,283.43737915921605,19/05/21 13:33:18
"Level 2","224",341.8398404950105,283.2322077670483,19/05/21 13:33:18
"Level 2","224",341.883010973124,283.05795114135793,19/05/21 13:33:18
"Level 2","224",341.92906844958986,282.87204121430875,19/05/21 13:33:18
"Level 2","224",341.99382422351465,282.6106560466849,19/05/21 13:33:18
"Level 2","224",342.0593245666546,282.3462654428301,19/05/21 13:33:19
"Level 2","224",342.1213717628224,282.0958133860026,19/05/21 13:33:19
"Level 2","224",342.17359730810495,281.8850061933685,19/05/21 13:33:19
"Level 2","224",342.21342509259733,281.724242272336,19/05/21 13:33:19
"Level 2","224",342.27838459473037,281.4620347605621,19/05/21 13:33:19
"Level 2","224",342.3225970987533,281.28357202164807,19/05/21 13:33:19
"Level 2","224",342.3737411369356,281.07713030714115,19/05/21 13:33:19
"Level 2","224",342.42190226050644,280.8827290577306,19/05/21 13:33:19
"Level 2","224",342.46123731262435,280.72395403940914,19/05/21 13:33:19
"Level 2","224",342.51397642023477,280.5110738644444,19/05/21 13:33:19
"Level 2","224",342.58421020862454,280.22757681949446,19/05/21 13:33:20
"Level 2","224",342.62067758164676,280.0803771208037,19/05/21 13:33:20
"Level 2","224",342.6671652055767,279.8927309135717,19/05/21 13:33:20
"Level 2","224",342.7145952140527,279.70128079315,19/05/21 13:33:20
"Level 2","224",342.7830737158277,279.42486892158644,19/05/21 13:33:20
"Level 2","224",342.8390746439288,279.1988224844639,19/05/21 13:33:20
"Level 2","224",342.8931153219761,278.9806885508582,19/05/21 13:33:20
"Level 2","224",342.9393738636094,278.79396702896116,19/05/21 13:33:20
"Level 2","224",343.0111229258142,278.5043536166799,19/05/21 13:33:20
"Level 2","224",343.0678918255484,278.2752072800138,19/05/21 13:33:20
"Level 2","224",343.1058241145787,278.12209448210217,19/05/21 13:33:21
"Level 2","224",343.16836988002984,277.86962996201765,19/05/21 13:33:21
"Level 2","224",343.2230370896447,277.648967048386,19/05/21 13:33:21
"Level 2","224",343.2719207690265,277.451649219336,19/05/21 13:33:21
"Level 2","224",343.32244823169526,277.24769629747567,19/05/21 13:33:21
"Level 2","224",343.3749893342111,277.0356153654463,19/05/21 13:33:21
"Level 2","224",343.4378663162941,276.7818138971702,19/05/21 13:33:21
"Level 2","224",343.47927170840705,276.61468199985774,19/05/21 13:33:21
"Level 2","224",343.5295773153613,276.4116245934028,19/05/21 13:33:21
"Level 2","224",343.5989503184608,276.1316020881538,19/05/21 13:33:21
"Level 2","224",343.6448013561729,275.9465254463085,19/05/21 13:33:22
"Level 2","224",343.6963378832436,275.738499459579,19/05/21 13:33:22
"Level 2","224",343.7364225630499,275.5766985866174,19/05/21 13:33:22
"Level 2","224",343.78707116990074,275.37225666909814,19/05/21 13:33:22
"Level 2","224",343.84921571993533,275.1214116456632,19/05/21 13:33:22
"Level 2","224",343.8870388137004,274.968739611887,19/05/21 13:33:22
"Level 2","224",343.9347456594073,274.7761720444545,19/05/21 13:33:22
"Level 2","224",343.9956377272092,274.53038263627207,19/05/21 13:33:22
"Level 2","224",344.035839033813,274.3681110019691,19/05/21 13:33:22
"Level 2","224",344.1071014883661,274.08046177009845,19/05/21 13:33:22
"Level 2","224",344.1647175738382,273.84789578800627,19/05/21 13:33:23
"Level 2","224",344.2271364756632,273.59594334998286,19/05/21 13:33:23
"Level 2","202",344.30980874281363,273.3500707894949,19/05/21 13:33:23
"Level 2","202",344.47759853865017,273.45653582511636,19/05/21 13:33:23
"Level 2","202",344.61318696098715,273.542568626706,19/05/21 13:33:23
"Level 2","202",344.8117396839171,273.66855318145247,19/05/21 13:33:23
"Level 2","202",345.0451997254772,273.8166869312849,19/05/21 13:33:23
"Level 2","202",345.22252771892266,273.9292040902976,19/05/21 13:33:23
"Level 2","202",345.4349594924267,274.0639951019946,19/05/21 13:33:23
"Level 2","202",345.5678733760644,274.1483308703619,19/05/21 13:33:23
"Level 2","202",345.7217310768604,274.245955791557,19/05/21 13:33:24
"Level 2","202",345.8850374340556,274.3495760209596,19/05/21 13:33:24
"Level 2","202",346.06172105960553,274.4616843192868,19/05/21 13:33:24
"Level 2","202",346.2139735836775,274.5582907327934,19/05/21 13:33:24
"Level 2","202",346.36635105817595,274.6549764291405,19/05/21 13:33:24
"Level 2","202",346.5642240618072,274.7805296922284,19/05/21 13:33:24
"Level 2","202",346.79257099290845,274.9254191000291,19/05/21 13:33:24
"Level 2","202",346.9840567404258,275.046919557365,19/05/21 13:33:24
"Level 2","202",347.12257270708346,275.1348099278779,19/05/21 13:33:24
