"floor","room","axis","ordinat","timestamp"
"Level 1","153",363.95636023795964,258.0737902689479,19/05/21 13:33:15
"Level 1","153",363.90343773708,258.2575725931107,19/05/21 13:33:15
"Level 1","153",363.8264894901069,258.5247883790983,19/05/21 13:33:15
"Level 1","153",363.7544250127444,258.77504445012926,19/05/21 13:33:15
"Level 1","153",363.69408228432945,258.9845947678599,19/05/21 13:33:15
"Level 1","153",363.61952166840456,259.24351910170554,19/05/21 13:33:15
"Level 1","153",363.5704027558991,259.4140928227234,19/05/21 13:33:15
"Level 1","153",363.50717479638803,259.633662592819,19/05/21 13:33:15
"Level 1","153",363.4482758055462,259.8381992879459,19/05/21 13:33:15
"Level 1","153",363.3848448343484,260.05847405041703,19/05/21 13:33:15
"Level 1","153",363.3056757847257,260.33340194875154,19/05/21 13:33:16
"Level 1","153",363.24721351435335,260.53642205827555,19/05/21 13:33:16
"Level 1","121",363.3413891645285,260.5948974211662,19/05/21 13:33:16
"Level 1","121",363.5165575821781,260.6053090595439,19/05/21 13:33:16
"Level 1","121",363.74884658096323,260.6191158238392,19/05/21 13:33:16
"Level 1","121",363.9940853426944,260.6336922945158,19/05/21 13:33:16
"Level 1","121",364.2628788525804,260.6496688093508,19/05/21 13:33:16
"Level 1","121",364.41272418660157,260.65857529746864,19/05/21 13:33:16
"Level 1","121",364.60556638317877,260.67003742769543,19/05/21 13:33:16
"Level 1","121",364.79696886666676,260.6814139844367,19/05/21 13:33:16
"Level 1","121",364.9770000899758,260.69211465764556,19/05/21 13:33:17
"Level 1","121",365.21798126314917,260.706438066309,19/05/21 13:33:17
"Level 1","121",365.50612064934796,260.72356445890716,19/05/21 13:33:17
"Level 1","121",365.6779241879496,260.7337760960272,19/05/21 13:33:17
"Level 1","121",365.92168499391164,260.7482647201547,19/05/21 13:33:17
"Level 1","121",366.1508127180512,260.7618835850052,19/05/21 13:33:17
"Level 1","121",366.41050732513634,260.77731928039987,19/05/21 13:33:17
"Level 1","121",366.6124065687936,260.7893197422519,19/05/21 13:33:17
"Level 1","121",366.81344305239986,260.80126892348056,19/05/21 13:33:17
"Level 1","121",367.02891684452766,260.8140762276374,19/05/21 13:33:17
"Level 1","121",367.1850746169801,260.8233579136768,19/05/21 13:33:18
"Level 1","121",367.44741931706767,260.83895112496606,19/05/21 13:33:18
"Level 1","121",367.73105889782215,260.8558100586942,19/05/21 13:33:18
"Level 1","121",367.9469625769446,260.86864291442015,19/05/21 13:33:18
"Level 1","121",368.1186166706692,260.87884566885435,19/05/21 13:33:18
"Level 1","121",368.2896270653532,260.88901016318596,19/05/21 13:33:18
"Level 1","121",368.4589988034927,260.899077259256,19/05/21 13:33:18
"Level 1","121",368.72267556582375,260.9147496454934,19/05/21 13:33:18
"Level 1","121",368.9655859221108,260.92918772070004,19/05/21 13:33:18
"Level 1","121",369.23446858092444,260.94516953435783,19/05/21 13:33:18
"Level 1","121",369.4478087360249,260.95785001966533,19/05/21 13:33:19
"Level 1","121",369.6293975551936,260.96864327306105,19/05/21 13:33:19
"Level 1","121",369.79437462097803,260.97844915914834,19/05/21 13:33:19
"Level 1","121",370.00668958652807,260.9910687093683,19/05/21 13:33:19
"Level 1","121",370.25322259258644,261.00572210717644,19/05/21 13:33:19
"Level 1","121",370.414574400112,261.01531251561926,19/05/21 13:33:19
"Level 1","121",370.5824923023108,261.02529319877146,19/05/21 13:33:19
"Level 1","121",370.78899282722773,261.03756715100036,19/05/21 13:33:19
"Level 1","121",371.02235363588943,261.0514376213963,19/05/21 13:33:19
"Level 1","121",371.30159380531774,261.06803506346733,19/05/21 13:33:19
"Level 1","121",371.5902659895735,261.08519312444946,19/05/21 13:33:20
"Level 1","121",371.8530323359139,261.10081139749565,19/05/21 13:33:20
"Level 1","121",372.13173332444524,261.1173767918003,19/05/21 13:33:20
"Level 1","121",372.4051437713127,261.133627727555,19/05/21 13:33:20
"Level 1","121",372.6744236346313,261.1496331502042,19/05/21 13:33:20
