"itemId","globalId","name","firstPartitionGlobalId","secondPartitionGlobalId ","accessRule","x","y"
"966","1h7qyFpbf0qggP_pQnt_B8","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189794","216","203","[]","354.99975","259.15954166666717"
"968","1h7qyFpbf0qggP_pQnt_Ac","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189708","213","203","[]","342.8051516666668","259.159541666667"
"970","1h7qyFpbf0qggP_pQnt_4u","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190098","220","223","[]","358.68462999999986","276.5934133333337"
"972","1h7qyFpbf0qggP_pQnt_8l","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189829","203","218","[]","374.28222500000015","263.9323333333338"
"973","1h7qyFpbf0qggP_pQnt_zR","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190705","202","224","[]","344.29100500000015","272.8231033333337"
"976","06njXbG3HC4RydTXssDq$e","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:214056","215","201","[]","353.42713","268.885916666667"
"982","1h7qyFpbf0qggP_pQnt_$4","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190574","202","226","[]","344.291005","286.25475000000046"
"983","1h7qyFpbf0qggP_pQnt_7r","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190047","S202","203","[]","378.5650833333335","261.99358333333385"
"984","1h7qyFpbf0qggP_pQnt_yp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190617","230","202","[]","341.2432966666668","285.9861200000005"
"986","1h7qyFpbf0qggP_pQnt_zc","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190668","231","202","[]","341.2432966666668","283.9211200000005"
"998","1h7qyFpbf0qggP_pQnt_DD","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189671","203","211","[]","340.74015166666686","259.159541666667"
"999","1h7qyFpbf0qggP_pQnt_66","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189996","219","203","[]","377.5356666666668","263.9323333333338"
"1002","1h7qyFpbf0qggP_pQnt_Di","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189638","203","210","[]","330.61575000000016","259.159541666667"
