"floor","room"
"Level 2","OUTDOOR"
"Level 2","219"
"Level 2","S201"
"Level 2","213"
"Level 2","204"
"Level 2","216"
"Level 2","235"
"Level 2","220"
"Level 2","233"
"Level 2","S202"
"Level 2","207"
"Level 2","205"
"Level 2","236"
"Level 2","230"
"Level 2","231"
"Level 2","202"
"Level 2","214"
"Level 2","227"
"Level 2","228"
"Level 2","210"
"Level 2","212"
"Level 2","206"
"Level 2","224"
"Level 2","234"
"Level 2","217"
"Level 2","201"
"Level 2","222"
"Level 2","218"
"Level 2","229"
"Level 2","226"
"Level 2","208"
"Level 2","211"
"Level 2","232"
"Level 2","225"
"Level 2","215"
"Level 2","209"
"Level 2","203"
"Level 2","223"
"Level 2","237"
"Level 2","221"
"Roof","OUTDOOR"
"Level 1","OUTDOOR"
"Level 1","131"
"Level 1","S101"
"Level 1","144"
"Level 1","134"
"Level 1","104"
"Level 1","157"
"Level 1","143A"
"Level 1","155"
"Level 1","106"
"Level 1","154"
"Level 1","141"
"Level 1","101"
"Level 1","102"
"Level 1","126"
"Level 1","147"
"Level 1","138"
"Level 1","148"
"Level 1","143"
"Level 1","153"
"Level 1","125"
"Level 1","108"
"Level 1","103"
"Level 1","133"
"Level 1","135"
"Level 1","S102"
"Level 1","146"
"Level 1","121"
"Level 1","118"
"Level 1","151"
"Level 1","115"
"Level 1","114"
"Level 1","156"
"Level 1","112"
"Level 1","122"
"Level 1","152"
"Level 1","132"
"Level 1","110"
"Level 1","111"
"Level 1","142"
"Level 1","145"
"Level 1","116"
"Level 1","113"
"Level 1","107"
"Level 1","136"
"Level 1","139"
"Level 1","124"
"Level 1","149"
"Level 1","150"
"Level 1","119"
"Level 1","109"
"Level 1","127"
"Level 1","105"
"Level 1","117"
"Level 1","129"
"Level 1","137"
"Level 1","140"
"Level 1","130"
"Level 1","123"
"Level 1","158"
"Level 1","128"
