floor,room,x,y,timestamp
"Level 2","210",333.7176514212321,261.5926184557389,19/06/02 21:13:02
"Level 2","210",333.5157242635341,261.4556576545623,19/06/02 21:13:02
"Level 2","210",333.3175843742563,261.3212656377088,19/06/02 21:13:02
"Level 2","210",333.09194335988593,261.16822047796524,19/06/02 21:13:02
"Level 2","210",332.9114242021462,261.0457800457143,19/06/02 21:13:03
"Level 2","210",332.6797141306377,260.88861843656645,19/06/02 21:13:03
"Level 2","210",332.4485807291487,260.73184796444434,19/06/02 21:13:03
"Level 2","210",332.4485807291487,260.73184796444434,19/06/02 21:13:03
"Level 2","210",332.2759979291315,260.61479051249427,19/06/02 21:13:03
"Level 2","210",332.0435365118117,260.4571192892585,19/06/02 21:13:03
"Level 2","210",331.8466154024703,260.3235539322682,19/06/02 21:13:03
"Level 2","210",331.7074070412545,260.2291333060387,19/06/02 21:13:03
"Level 2","210",331.50450891948515,260.09151393065827,19/06/02 21:13:03
"Level 2","210",331.2570849019307,259.9236940491678,19/06/02 21:13:03
"Level 2","210",331.06923692210194,259.79628270881096,19/06/02 21:13:04
"Level 2","210",330.8245998297139,259.63035311046997,19/06/02 21:13:04
"Level 2","210",330.6524149841877,259.51356557845804,19/06/02 21:13:04
"Level 2","210",330.42685674463115,259.3605765622513,19/06/02 21:13:04
"Level 2","210",330.2891324428512,259.26716252657474,19/06/02 21:13:04
"Level 2","210",330.1498335407612,259.17268048933545,19/06/02 21:13:04
"Level 2","203A",330.25347410523256,259.02205156471405,19/06/02 21:13:04
"Level 2","203A",330.4181526389734,258.8379904558514,19/06/02 21:13:04
"Level 2","203A",330.60571712701034,258.62834972814335,19/06/02 21:13:04
"Level 2","203A",330.7388775091066,258.479516440474,19/06/02 21:13:04
"Level 2","203A",330.8597213082743,258.34444939093993,19/06/02 21:13:05
"Level 2","203A",331.0259622826446,258.1586419430235,19/06/02 21:13:05
"Level 2","203A",331.2203443257644,257.94138123765487,19/06/02 21:13:05
"Level 2","203A",331.3857239285315,257.75653654431756,19/06/02 21:13:05
"Level 2","203A",331.49019285449776,257.6397716817806,19/06/02 21:13:05
"Level 2","203A",331.6525682592498,257.45828477895384,19/06/02 21:13:05
"Level 2","203A",331.762375797675,257.33555295213404,19/06/02 21:13:05
"Level 2","203A",331.90068828186736,257.1809611627145,19/06/02 21:13:05
"Level 2","203A",332.0701988773443,256.9914992610403,19/06/02 21:13:05
"Level 2","203A",332.1845684526534,256.86366844804144,19/06/02 21:13:06
"Level 2","203A",332.3533178147397,256.6750573765199,19/06/02 21:13:06
"Level 2","203A",332.5500553840829,256.4551639007543,19/06/02 21:13:06
"Level 2","203A",332.6677734730429,256.3235904558433,19/06/02 21:13:06
"Level 2","203A",332.83776413539454,256.13359198368073,19/06/02 21:13:06
"Level 2","203A",333.00578783593846,255.94579198367595,19/06/02 21:13:06
"Level 2","203A",333.18978723882475,255.7401359497292,19/06/02 21:13:06
"Level 2","203A",333.3523006103624,255.5584948415001,19/06/02 21:13:06
"Level 2","203A",333.54549817550196,255.34255802653485,19/06/02 21:13:06
"Level 2","203A",333.6556473075655,255.21944440068862,19/06/02 21:13:06
"Level 2","203A",333.7573369562578,255.10578593487057,19/06/02 21:13:07
"Level 2","203A",333.88811578965766,254.95961450290224,19/06/02 21:13:07
"Level 2","203A",334.02672359132356,254.80469263730083,19/06/02 21:13:07
"Level 2","203A",334.18121459275534,254.6320181278376,19/06/02 21:13:07
"Level 2","203A",334.3648021222652,254.4268224445428,19/06/02 21:13:07
"Level 2","203A",334.50763053629544,254.26718320276484,19/06/02 21:13:07
