"itemId","globalId","name","firstPartition","secondPartition","accessRule","x","y"
"478","2N3oFtM8X6lO2dN1$77xEd","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185025","142","122","[]","340.73524666666685","266.73907833333385"
"479","2N3oFtM8X6lO2dN1$77xo6","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187872","147","143","[]","330.55104166666683","245.729291666667"
"482","2N3oFtM8X6lO2dN1$77xUv","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:186079","101","141","[]","344.49579166666666","292.5708333333338"
"484","2N3oFtM8X6lO2dN1$77x9N","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185137","142","123","[]","340.73524666666685","268.80407833333385"
"485","2N3oFtM8X6lO2dN1$77uCB","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189037","155","158","[]","365.5780447678163","249.9258750000005"
"488","2N3oFtM8X6lO2dN1$77xD6","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184864","121","119","[]","346.55079166666667","263.89558333333383"
"489","2N3oFtM8X6lO2dN1$77x$U","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188088","146","143","[]","314.63675","242.69845833333366"
"492","2N3oFtM8X6lO2dN1$77xH0","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185638","131","141","[]","322.227125","292.57083333333367"
"501","2N3oFtM8X6lO2dN1$77xeH","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187255","140","132","[]","321.009625","288.980291666667"
"502","2N3oFtM8X6lO2dN1$77xq_","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187480","140","133","[]","321.009625","284.32891666666694"
"503","2N3oFtM8X6lO2dN1$77x0R","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184701","116","121","[]","352.4379166666668","263.89558333333383"
"504","2N3oFtM8X6lO2dN1$77xbr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186387","106","113","[]","374.8707516666668","293.2375833333338"
"507","2N3oFtM8X6lO2dN1$77xVs","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186000","113","141","[]","346.9528333333335","290.0311250000005"
"508","2N3oFtM8X6lO2dN1$77xRF","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186281","104","113","[]","361.6627516666667","293.2375833333338"
"510","2N3oFtM8X6lO2dN1$77xYv","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186847","113","109","[]","373.65960333333334","290.52854166666697"
"513","2N3oFtM8X6lO2dN1$77xJp","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185749","128","141","[]","340.21995833333335","292.5708333333338"
"515","2N3oFtM8X6lO2dN1$77xjY","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186884","140","139","[]","306.58625","271.3039166666672"
"516","2N3oFtM8X6lO2dN1$77u2P","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188927","153","158","[]","364.3360833333335","256.0593750000005"
"517","2N3oFtM8X6lO2dN1$77xwP","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:188415","121","143","[]","308.006455","260.588410000001"
"519","2N3oFtM8X6lO2dN1$77xDb","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184835","115","121","[]","349.1253333333335","263.89558333333383"
"521","2N3oFtM8X6lO2dN1$77x7o","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184468","121","S102","[]","378.5650833333335","261.5175766666678"
"523","2N3oFtM8X6lO2dN1$77xei","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187210","140","137","[]","319.36533666666685","271.3039166666672"
"524","2N3oFtM8X6lO2dN1$77u0o","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188756","152","121","[]","353.58125","260.58841000000115"
"525","2N3oFtM8X6lO2dN1$77xzD","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187947","144","143","[]","309.6383266666667","245.729291666667"
"527","2N3oFtM8X6lO2dN1$77xv3","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188197","145","143","[]","311.86666","245.52262500000035"
"528","2N3oFtM8X6lO2dN1$77xXr","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186643","111","114","[]","352.93420333333347","278.4688333333338"
"529","2N3oFtM8X6lO2dN1$77xKn","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185431","126","141","[]","336.61579166666667","290.0311250000005"
"530","2N3oFtM8X6lO2dN1$77xNK","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185522","127","141","[]","334.3874583333333","290.0311250000005"
"532","2N3oFtM8X6lO2dN1$77xsW","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187590","121","S101","[]","305.65708333333333","261.51757666666765"
"534","2N3oFtM8X6lO2dN1$77u8l","M_Double-Flush:1830 x 2083mm:1830 x 2083mm:189257","157","158","[]","368.5538781011497","249.9258750000005"
"535","2N3oFtM8X6lO2dN1$77xtv","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187551","140","134","[]","321.009625","279.677541666667"
"536","2N3oFtM8X6lO2dN1$77xGO","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185726","129","141","[]","332.95661166666684","292.57083333333367"
"537","2N3oFtM8X6lO2dN1$77xb8","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186414","107","113","[]","377.54937500000017","291.8830625000005"
"538","2N3oFtM8X6lO2dN1$77x1u","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184606","117","121","[]","357.9782916666667","263.89558333333383"
"540","2N3oFtM8X6lO2dN1$77uCq","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189010","154","158","[]","364.3360833333335","250.77004166666717"
"545","2N3oFtM8X6lO2dN1$77xkJ","M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187125","140","138","[]","317.3003366666667","271.3039166666672"
