ITEMID,GLOBALID,X,Y
106,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184137,383.71883333333335,261.75091000000117
107,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186459,344.8204166666668,277.29133333333385
109,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184917,332.35320666666684,265.03141666666716
110,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185431,336.61579166666667,290.0311250000005
112,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185025,340.73524666666685,266.73907833333385
114,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185681,328.04406,292.57083333333367
115,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187255,321.009625,288.980291666667
116,M_Double-Flush:1830 x 2134mm:1830 x 2134mm:183872,383.71883333333335,284.535454175657
119,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186334,372.6424183333335,293.2375833333338
121,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187783,331.7285416666667,247.57345833333383
123,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185292,341.4707916666667,277.6728750000005
124,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188927,364.3360833333335,256.0593750000005
125,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184984,326.99279500000017,265.03141666666716
126,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187551,321.009625,279.677541666667
127,M_Toilet Partition:0915 x 1525mm:0915 x 1525mm:227982,332.40579,271.4309583333338
128,M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:228104,326.33229000000017,270.5902350000002
129,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188878,363.20025000000015,260.58841000000115
130,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186387,374.8707516666668,293.2375833333338
132,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185522,334.3874583333333,290.0311250000005
133,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185638,322.227125,292.57083333333367
135,M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:228138,332.44745666666665,268.9601250000005
136,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186608,350.60587000000015,278.4688333333338
137,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188088,314.63675,242.69845833333366
138,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189010,364.3360833333335,250.77004166666717
139,M_Double-Flush:1830 x 2083mm:1830 x 2083mm:200566,343.16245833333335,300.0
140,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187665,330.55104166666666,260.588410000001
144,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184701,352.4379166666668,263.89558333333383
145,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186414,377.54937500000017,291.8830625000005
150,M_Double-Flush:1830 x 2083mm:1830 x 2083mm:186079,344.49579166666666,292.5708333333338
151,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186847,373.65960333333334,290.52854166666697
153,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184864,346.55079166666667,263.89558333333383
154,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185726,332.95661166666684,292.57083333333367
156,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188756,353.58125,260.58841000000115
159,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187947,309.6383266666667,245.729291666667
160,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187125,317.3003366666667,271.3039166666672
161,M_Double-Flush:1830 x 2134mm:1830 x 2134mm:183972,383.71883333333335,275.9078750000005
163,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186281,361.6627516666667,293.2375833333338
164,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185137,340.73524666666685,268.80407833333385
166,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186248,359.4344183333333,293.23758333333365
167,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189037,365.5780447678163,249.9258750000005
171,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:185749,340.21995833333335,292.5708333333338
174,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187480,321.009625,284.32891666666694
175,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187210,319.36533666666685,271.3039166666672
178,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188819,357.3633433333333,255.13020833333383
180,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186643,352.93420333333347,278.4688333333338
134,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186000,346.9528333333335,290.0311250000005
143,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188197,311.86666,245.52262500000035
172,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184606,357.9782916666667,263.89558333333383
182,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186692,371.3646033333335,290.52854166666697
183,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184259,300.50333333333333,261.750910000001
184,M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:228197,332.44745666666665,267.40535416666717
186,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187872,330.55104166666683,245.729291666667
187,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187590,305.65708333333333,261.51757666666765
191,M_Double-Flush:1830 x 2083mm:1830 x 2083mm:188415,308.006455,260.588410000001
192,M_Toilet Partition:0915 x 1525mm:0915 x 1525mm:227877,326.37395666666686,272.940916666667
193,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188460,351.51625,260.58841000000115
194,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186884,306.58625,271.3039166666672
196,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:186187,353.08554,293.23758333333365
198,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:188641,351.5162500000002,253.91020833333383
199,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184835,349.1253333333335,263.89558333333383
200,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:187736,331.7285416666667,252.3623750000005
201,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184468,378.5650833333335,261.5175766666678
202,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:207624,330.67520833333333,254.92620833333382
204,M_Double-Flush:1830 x 2083mm:1830 x 2083mm:189257,368.5538781011497,249.9258750000005
205,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189090,358.29251,243.5437300000005
206,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:184323,300.0,280.54476166666717
108,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190960,335.0753300000002,268.6792500000003
111,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190098,358.68462999999986,276.5934133333337
113,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190668,341.2432966666668,283.9211200000005
117,M_Toilet Partition:0915 x 1525mm:0915 x 1525mm:229614,326.3792133333335,275.3595000000003
118,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191221,323.3710466666668,268.6792500000003
120,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189597,328.55075000000016,259.159541666667
122,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190574,344.291005,286.25475000000046
131,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190359,356.14463,281.58617666666714
141,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190617,341.2432966666668,285.9861200000005
142,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189794,354.99975,259.15954166666717
146,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:214056,353.42713,268.885916666667
147,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189562,319.8630833333335,259.159541666667
148,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190047,378.5650833333335,261.99358333333385
149,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189996,377.5356666666668,263.9323333333338
152,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189829,374.28222500000015,263.9323333333338
155,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190402,356.14463,283.65117666666714
157,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190300,358.68462999999986,283.2400800000003
158,M_Toilet Partition:0915 x 1525mm:0915 x 1525mm:229928,333.33783000000017,275.1654850000005
162,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191192,322.2352133333335,281.0480416666672
165,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189708,342.8051516666668,259.159541666667
168,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191135,322.4418800000002,283.113041666667
169,M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:229615,326.3375466666668,272.76379166666715
170,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191538,341.2432966666668,277.75758333333386
173,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191025,334.358005,293.6982500000005
176,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189533,317.7980833333335,259.159541666667
177,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189733,352.93475,259.15954166666717
179,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190705,344.29100500000015,272.8231033333337
105,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189338,305.65708333333333,261.4383750000005
181,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190748,344.29100500000015,269.8150833333337
185,M_Toilet Partition:0813 x 1525mm:0813 x 1525mm:229929,333.2961633333335,272.7504850000005
188,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191112,323.3710466666668,293.6982500000005
189,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189638,330.61575000000016,259.159541666667
190,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189671,340.74015166666686,259.159541666667
195,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:190439,344.291005,292.5624166666671
197,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:191302,321.3060466666668,277.40251333333384
203,M_Single-Flush:0915 x 2134mm:0915 x 2134mm:189969,370.77791666666684,263.9323333333338
